Name,Team,Year,QBR,RTG
Lamar Jackson,BAL,2020,67.3,99.3
Cam Newton,NWE,2020,39.4,82.9
Sam Darnold,NYJ,2020,32.9,72.7
Andy Dalton,DAL,2020,46.1,87.3
Gardner Minshew II,JAX,2020,44,95.9
Nick Mullens,SFO,2020,36.3,84.1
Nick Foles,CHI,2020,36,80.8
Mitchell Trubisky,CHI,2020,53.8,93.5
Tua Tagovailoa,MIA,2020,44.8,87.1
Ryan Fitzpatrick,MIA,2020,70.9,95.6
Alex Smith,WAS,2020,28.2,78.5
Dwayne Haskins,WAS,2020,24.8,73
Dak Prescott,DAL,2020,73.1,99.6
