Team,Year,Name,QBR,Predicted_QBR,QBR_over_Pred,RTG,Predicted_RTG,RTG_over_Pred
PIT,2022,Kenny Pickett,53.6,66.51,-12.91,76.7,102.03,-25.33
NO,2022,Andy Dalton,53.1,56.29,-3.19,95.2,95.77,-0.57
LAR,2022,Matthew Stafford,52.3,55.39,-3.09,87.4,90.85,-3.45
MIN,2022,Kirk Cousins,52.3,53.9,-1.6,92.5,93.23,-0.73
TEN,2022,Ryan Tannehill,51.2,53.04,-1.84,94.6,90.25,4.35
IND,2022,Matt Ryan,44.9,45.93,-1.03,83.9,86.05,-2.15
NE,2022,Mac Jones,38.4,54.53,-16.13,84.8,92.39,-7.59
HOU,2022,Davis Mills,35.0,47.22,-12.22,78.8,87.31,-8.51
CAR,2022,Baker Mayfield,26.3,59.46,-33.16,79.0,93.73,-14.73
GB,2021,Aaron Rodgers,74.1,62.57,11.53,111.9,98.06,13.84
TB,2021,Tom Brady,73.1,61.4,11.7,102.1,95.99,6.11
LAC,2021,Justin Herbert,70.9,55.93,14.97,97.7,92.26,5.44
LAR,2021,Matthew Stafford,69.2,58.3,10.9,102.9,95.34,7.56
KC,2021,Patrick Mahomes,67.7,60.17,7.53,98.5,95.27,3.23
BUF,2021,Josh Allen,66.3,63.18,3.12,92.2,100.39,-8.19
ARI,2021,Kyler Murray,63.2,60.38,2.82,100.6,96.55,4.05
TEN,2021,Ryan Tannehill,61.8,55.39,6.41,89.6,92.08,-2.48
IND,2021,Carson Wentz,60.6,62.77,-2.17,94.6,95.33,-0.73
SEA,2021,Russell Wilson,60.6,62.86,-2.26,103.1,97.56,5.54
DAL,2021,Dak Prescott,60.5,61.88,-1.38,104.2,99.59,4.61
CIN,2021,Joe Burrow,60.2,58.39,1.81,108.3,96.72,11.58
SF,2021,Jimmy Garoppolo,59.2,62.53,-3.33,98.7,98.5,0.2
LV,2021,Derek Carr,58.4,51.45,6.95,94.0,90.15,3.85
MIN,2021,Kirk Cousins,58.3,55.11,3.19,103.1,94.15,8.95
NE,2021,Mac Jones,56.9,62.45,-5.55,92.5,98.85,-6.35
BAL,2021,Lamar Jackson,56.8,62.43,-5.63,87.0,98.07,-11.07
MIA,2021,Tua Tagovailoa,55.7,47.01,8.69,90.1,85.82,4.28
PHI,2021,Jalen Hurts,54.6,62.43,-7.83,87.2,96.31,-9.11
ATL,2021,Matt Ryan,52.2,50.42,1.78,90.4,88.98,1.42
DET,2021,Jared Goff,45.5,55.32,-9.82,91.5,93.78,-2.28
HOU,2021,Davis Mills,41.2,45.39,-4.19,88.8,84.97,3.83
JAX,2021,Trevor Lawrence,39.1,51.12,-12.02,71.9,87.83,-15.93
CAR,2021,Sam Darnold,38.8,52.83,-14.03,71.9,88.39,-16.49
NYJ,2021,Zach Wilson,33.4,53.44,-20.04,69.7,89.23,-19.53
ATL,2020,Matt Ryan,59.8,53.26,6.54,93.3,91.16,2.14
PIT,2020,Ben Roethlisberger,52.5,51.92,0.58,94.1,90.18,3.92
LAC,2020,Justin Herbert,62.6,51.08,11.52,98.3,89.8,8.5
KC,2020,Patrick Mahomes,78.1,55.73,22.37,108.2,90.98,17.22
BUF,2020,Josh Allen,76.6,58.72,17.88,107.2,95.06,12.14
SEA,2020,Russell Wilson,67.1,60.66,6.44,105.1,95.38,9.72
LAR,2020,Jared Goff,50.8,54.82,-4.02,90.0,91.97,-1.97
HOU,2020,Deshaun Watson,63.7,51.56,12.14,112.4,90.67,21.73
IND,2020,Philip Rivers,55.0,60.73,-5.73,97.0,97.11,-0.11
DET,2020,Matthew Stafford,61.3,47.39,13.91,96.3,84.35,11.95
GB,2020,Aaron Rodgers,79.8,63.5,16.3,121.5,96.58,24.92
MIN,2020,Kirk Cousins,55.8,62.14,-6.34,105.0,98.48,6.52
CAR,2020,Teddy Bridgewater,56.8,59.13,-2.33,92.1,96.25,-4.15
CLE,2020,Baker Mayfield,65.5,57.58,7.92,95.9,91.53,4.37
TEN,2020,Ryan Tannehill,72.6,63.82,8.78,106.5,95.55,10.95
NYG,2020,Daniel Jones,54.0,50.38,3.62,80.4,86.38,-5.98
DEN,2020,Drew Lock,41.2,53.15,-11.95,75.4,90.47,-15.07
PHI,2020,Carson Wentz,41.9,55.32,-13.42,72.8,91.09,-18.29
CIN,2020,Joe Burrow,48.5,50.39,-1.89,89.8,87.74,2.06
BAL,2020,Lamar Jackson,67.3,67.68,-0.38,99.3,99.34,-0.04
NYJ,2020,Sam Darnold,32.9,47.47,-14.57,72.7,84.23,-11.53
DAL,2020,Andy Dalton,46.1,55.67,-9.57,87.3,92.63,-5.33
JAX,2020,Gardner Minshew II,44.0,52.1,-8.1,95.9,87.16,8.74
CHI,2020,Nick Foles,36.0,55.16,-19.16,80.8,91.56,-10.76
CHI,2020,Mitchell Trubisky,53.8,55.16,-1.36,93.5,91.56,1.94
MIA,2020,Tua Tagovailoa,44.8,49.96,-5.16,87.1,87.88,-0.78
MIA,2020,Ryan Fitzpatrick,70.9,49.96,20.94,95.6,87.88,7.72
DAL,2020,Dak Prescott,73.1,55.67,17.43,99.6,92.63,6.97
